id;name;size;tipo;country
ADB;Izmir Adnan Menderes Apt;1248;EU;Turkey
AGP;Malaga Airport;1566;EU;Spain
AMM;Amman Queen Alia International Apt;3348;extra_EU;Jordan
AMS;Amsterdam;6003;EU;Netherlands
ARN;Stockholm Arlanda Apt;3132;EU;Sweden
ATH;Athens (GR);331247;EU;Greece
BCN;Barcelona Apt (ES);8613;EU;Spain
BEG;Belgrade Nikola Tesla;3480;EU;Serbia
BES;Brest (FR);870;EU;France
BEY;Beirut;6612;extra_EU;Lebanon
BLQ;Bologna Guglielmo Marconi;2088;EU;Italy
BOD;Bordeaux Merignac Apt;3480;EU;France
BRI;Bari;780;EU;Italy
BRU;Brussels Airport;10872;EU;Belgium
BSL;Basel;1392;EU;Switzerland
BUD;Budapest;3132;EU;Hungary
CAI;Cairo International;11235;extra_EU;Egypt
CDG;Paris Charles de Gaulle Apt;29574;EU;France
CMN;Casablanca Mohammed V Apt;696;extra_EU;Morocco
CPH;Copenhagen Kastrup Apt;4524;EU;Denmark
CTA;Catania;1458;EU;Italy
DBV;Dubrovnik;2784;EU;Croatia
DME;Moscow Domodedovo Apt;10614;EU;Russian Federation
DOL;Deauville;696;EU;France
DUB;Dublin (IE);2610;EU;Ireland Republic of
DUS;Duesseldorf International Airport;13425;EU;Germany
EDI;Edinburgh;1392;EU;United Kingdom
ETZ;Metz/Nancy Lorraine;696;EU;France
EVN;Yerevan;2784;EU;Armenia
FCO;Rome Fiumicino Apt;12060;EU;Italy
FRA;Frankfurt International Apt;16758;EU;Germany
GVA;Geneva;5247;EU;Switzerland
HAJ;Hannover;2958;EU;Germany
HAM;Hamburg Airport;4176;EU;Germany
HBE;Alexandria Borg el Arab;1092;extra_EU;Egypt
HEL;Helsinki-Vantaa;1740;EU;Finland
HER;Irakleion;31320;EU;Greece
IBZ;Ibiza;666;EU;Spain
IST;Istanbul Airport;14160;EU;Turkey
JED;Jeddah;2262;extra_EU;Saudi Arabia
KBP;Kiev Borispol Intl Apt;1566;EU;Ukraine
KLX;Kalamata;6264;EU;Greece
KRK;Krakow John Paul II - Balice;1566;EU;Poland
LCA;Larnaca;6612;EU;Cyprus
LED;St Petersburg Pulkovo Apt;2958;EU;Russian Federation
LHR;London Heathrow Apt;18933;EU;United Kingdom
LIL;Lille Lesquin Airport;696;EU;France
LIS;Lisbon;6105;EU;Portugal
LUX;Luxembourg;1392;EU;Luxembourg
LYS;Lyon St-exupery Apt;6090;EU;France
MAD;Madrid Adolfo Suarez-Barajas Apt;9258;EU;Spain
MAN;Manchester (GB);1914;EU;United Kingdom
MLA;Malta (MT);1710;EU;Malta
MRS;Marseille Provence Apt;6612;EU;France
MUC;Munich International Airport;25344;EU;Germany
MXP;Milan Malpensa Apt;10926;EU;Italy
NAP;Naples Capodichino Apt;2784;EU;Italy
NCE;Nice;3654;EU;France
NTE;Nantes Atlantique Airport;4350;EU;France
NUE;Nuremberg;1566;EU;Germany
OPO;Porto;1566;EU;Portugal
OTP;Bucharest Henri Coanda Apt;8148;EU;Romania
PMO;Palermo;1242;EU;Italy
PRG;Prague Ruzyne;5247;EU;Czech Republic
PSA;Pisa;1218;EU;Italy
RAK;Marrakech;1566;extra_EU;Morocco
RHO;Rhodes;11310;EU;Greece
RUH;Riyadh King Khalid Intl;2088;extra_EU;Saudi Arabia
SJJ;Sarajevo;468;EU;Bosnia and Herzegovina
SKG;Thessaloniki;38220;EU;Greece
SKP;Skopje;1014;EU;North Macedonia
SOF;Sofia;5916;EU;Bulgaria
SPU;Split;1248;EU;Croatia
STR;Stuttgart Airport;9048;EU;Germany
SUF;Lamezia Terme;78;EU;Italy
TBS;Tbilisi;3132;EU;Georgia
TGD;Podgorica;624;EU;Montenegro
TIA;Tirana;6324;EU;Albania
TLL;Tallinn;1566;EU;Estonia
TLS;Toulouse;3860;EU;France
TLV;Tel Aviv-yafo Ben Gurion International;26898;extra_EU;Israel
TUN;Tunis;870;extra_EU;Tunisia
TXL;Berlin Tegel Apt;5220;EU;Germany
VCE;Venice Marco Polo Apt;3654;EU;Italy
VIE;Vienna International;6612;EU;Austria
VLC;Valencia Airport (ES);1392;EU;Spain
VRN;Verona Villafranca Airport;522;EU;Italy
WAW;Warsaw Frederic Chopin;5220;EU;Poland
ZAG;Zagreb;1014;EU;Croatia
ZRH;Zurich Airport;10896;EU;Switzerland
