from ,to,seats,tipo 
STR,ATH,3012,EU
STR,HER,1566,EU
SXB,BRU,180,EU
SXB,ATH,201,EU
TBS,ATH,3194,EU
TGD,ATH,702,EU
TIA,HER,1392,EU
TIA,ATH,5190,EU
TLL,ATH,1566,EU
TLS,ATH,2356,EU
TLS,HER,1620,EU
TLV,RHO,348,extra_EU
TLV,JMK,1593,extra_EU
TLV,SKG,2262,extra_EU
TLV,ATH,14638,extra_EU
TLV,JTR,1392,extra_EU
TLV,HER,5301,extra_EU
TUN,ATH,1296,extra_EU
VCE,ATH,3408,EU
VIE,ATH,5622,EU
VIE,HER,2262,EU
VLC,ATH,900,EU
WAW,ATH,5885,EU
ZAG,ATH,870,EU
ZRH,ATH,6315,EU
ZRH,RHO,1392,EU
ZRH,SKG,2262,EU
ZRH,HER,2451,EU
